winner_binary,season,team1,team2,runs_difference,wickets_difference,boundary_difference,team1_wickets,team2_wickets,team1_dot_ball_percentage,team2_dot_ball_percentage,toss_won_by_team1,toss_decision_bat,match_id
1,2014/15,New Zealand,Sri Lanka,-3,1,1,1,0,75.40983606557377,63.49206349206349,1,1,749791
0,2014/15,New Zealand,Sri Lanka,8,-2,3,0,2,63.934426229508205,70.96774193548387,0,1,749793
1,2014/15,New Zealand,Pakistan,-31,1,-10,2,1,72.3076923076923,66.12903225806451,1,0,749795
1,2014/15,New Zealand,Pakistan,-2,1,0,1,0,63.934426229508205,59.67741935483871,1,1,749797
1,2014/15,Australia,India,-11,1,-2,2,1,63.07692307692307,53.96825396825397,0,1,754749
1,2014/15,Australia,England,-16,3,-5,4,1,67.74193548387096,63.33333333333333,0,1,754751
1,2014/15,England,India,-31,0,-4,1,1,70.49180327868852,54.83870967741935,0,1,754753
1,2014/15,Australia,England,2,0,2,0,0,53.333333333333336,45.90163934426229,1,0,754755
1,2014/15,England,India,-1,-1,-1,0,1,58.333333333333336,68.75,1,0,754759
1,2014/15,Australia,England,-4,0,-1,2,2,70.0,69.35483870967742,0,0,754761
0,2015/16,South Africa,England,3,0,1,1,1,43.54838709677419,44.26229508196721,0,1,800469
0,2015/16,South Africa,England,13,0,3,1,1,64.51612903225806,70.0,1,1,800471
1,2015/16,South Africa,England,-1,1,-3,1,0,56.451612903225815,61.904761904761905,0,1,800473
1,2015/16,South Africa,England,-14,0,-1,1,1,67.74193548387096,59.01639344262295,1,0,800475
1,2015/16,South Africa,England,27,-2,2,1,3,53.96825396825397,77.77777777777779,1,0,800477
1,2014/15,Ireland,Scotland,-8,0,-5,3,3,61.29032258064516,63.49206349206349,1,0,810829
0,2015,Bangladesh,South Africa,14,3,3,4,1,60.9375,66.66666666666666,1,1,817207
1,2015,Bangladesh,South Africa,-19,-1,-3,1,2,68.85245901639344,57.57575757575758,0,1,817209
1,2015,Bangladesh,South Africa,-33,2,-4,2,0,70.0,45.3125,0,1,817211
1,2015,South Africa,New Zealand,14,0,2,1,1,62.5,72.58064516129032,0,0,848843
0,2015,South Africa,New Zealand,-8,2,-3,2,0,60.65573770491803,58.730158730158735,1,1,848845
1,2015,South Africa,New Zealand,9,-1,4,0,1,70.96774193548387,59.01639344262295,1,1,848847
1,2015,Bangladesh,Pakistan,-8,0,1,0,0,65.57377049180327,54.83870967741935,1,1,858485
1,2015,Bangladesh,Pakistan,-46,1,-13,2,1,67.74193548387096,53.2258064516129,0,1,858487
1,2015,Bangladesh,Pakistan,10,0,1,0,0,53.2258064516129,65.07936507936508,0,1,858489
0,2015,Sri Lanka,Pakistan,-3,0,-3,1,1,58.06451612903226,63.33333333333333,0,0,860269
1,2015,Sri Lanka,Pakistan,-54,-1,-11,0,1,70.0,33.87096774193548,0,1,860271
0,2015,Sri Lanka,Pakistan,3,-2,-1,0,2,51.66666666666667,55.73770491803278,0,1,860273
0,2015,Sri Lanka,Pakistan,-21,1,-4,1,0,53.96825396825397,51.66666666666667,1,1,860275
1,2015,Sri Lanka,Pakistan,12,-1,4,0,1,53.333333333333336,53.96825396825397,1,1,860277
1,2015,Pakistan,Zimbabwe,-9,-1,-1,0,1,68.85245901639344,55.00000000000001,1,1,868727
1,2015,Pakistan,Zimbabwe,-6,-1,1,0,1,67.21311475409836,59.01639344262295,1,0,868729
1,2015,Bangladesh,India,13,0,6,0,0,41.269841269841265,50.81967213114754,1,1,870731
1,2015,Bangladesh,India,16,0,4,1,1,60.60606060606061,65.07936507936508,0,1,870733
0,2015,Bangladesh,India,-4,-1,-2,1,2,54.09836065573771,53.03030303030303,1,0,870735
0,2015,Zimbabwe,India,-2,0,0,1,1,72.1311475409836,72.58064516129032,1,0,885959
0,2015,Zimbabwe,India,6,-2,-1,0,2,59.67741935483871,73.77049180327869,1,0,885965
0,2015,Zimbabwe,India,-6,1,-2,2,1,70.3125,68.85245901639344,1,0,885967
1,2015,Zimbabwe,New Zealand,-3,2,2,2,0,77.41935483870968,57.377049180327866,1,0,894287
0,2015,Zimbabwe,New Zealand,-5,1,2,1,0,77.41935483870968,58.333333333333336,1,1,894289
0,2015,Zimbabwe,New Zealand,7,1,1,1,0,66.66666666666666,70.3125,1,0,894291
1,2015/16,Australia,India,12,-1,3,1,2,62.295081967213115,60.9375,0,1,895807
1,2015/16,Australia,India,7,1,2,1,0,62.295081967213115,61.53846153846154,0,1,895809
