FPR,TPR
0.0,0.0
0.0,0.010101010101010102
0.0,0.04040404040404041
0.008,0.04040404040404041
0.008,0.06060606060606061
0.016,0.06060606060606061
0.016,0.10101010101010101
0.024,0.10101010101010101
0.024,0.1717171717171717
0.04,0.1717171717171717
0.04,0.24242424242424243
0.048,0.24242424242424243
0.048,0.26262626262626265
0.072,0.26262626262626265
0.072,0.2727272727272727
0.088,0.2727272727272727
0.088,0.3434343434343434
0.096,0.3434343434343434
0.096,0.35353535353535354
0.12,0.35353535353535354
0.12,0.3939393939393939
0.128,0.3939393939393939
0.128,0.42424242424242425
0.136,0.42424242424242425
0.136,0.43434343434343436
0.144,0.43434343434343436
0.144,0.46464646464646464
0.16,0.46464646464646464
0.16,0.47474747474747475
0.192,0.47474747474747475
0.192,0.48484848484848486
0.208,0.48484848484848486
0.208,0.5050505050505051
0.216,0.5050505050505051
0.216,0.5555555555555556
0.24,0.5555555555555556
0.24,0.5757575757575758
0.248,0.5757575757575758
0.248,0.5959595959595959
0.264,0.5959595959595959
0.264,0.6060606060606061
0.272,0.6060606060606061
0.272,0.6262626262626263
0.28,0.6262626262626263
0.28,0.6464646464646465
0.304,0.6464646464646465
0.304,0.6767676767676768
0.328,0.6767676767676768
0.328,0.6868686868686869
0.336,0.6868686868686869
0.336,0.7070707070707071
0.408,0.7070707070707071
0.408,0.7171717171717171
0.416,0.7171717171717171
0.416,0.7272727272727273
0.44,0.7272727272727273
0.44,0.7373737373737373
0.448,0.7373737373737373
0.448,0.7474747474747475
0.488,0.7474747474747475
0.488,0.7575757575757576
0.496,0.7575757575757576
0.496,0.7676767676767676
0.512,0.7676767676767676
0.512,0.7777777777777778
0.528,0.7777777777777778
0.528,0.7878787878787878
0.552,0.7878787878787878
0.552,0.8181818181818182
0.584,0.8181818181818182
0.584,0.8282828282828283
0.592,0.8282828282828283
0.592,0.8383838383838383
0.608,0.8383838383838383
0.608,0.8686868686868687
0.632,0.8686868686868687
0.632,0.8787878787878788
0.656,0.8787878787878788
0.656,0.8888888888888888
0.712,0.8888888888888888
0.712,0.898989898989899
0.752,0.898989898989899
0.752,0.9090909090909091
0.76,0.9090909090909091
0.76,0.9191919191919192
0.8,0.9191919191919192
0.8,0.9292929292929293
0.808,0.9292929292929293
0.808,0.9393939393939394
0.816,0.9393939393939394
0.816,0.9494949494949495
0.84,0.9494949494949495
0.84,0.9595959595959596
0.864,0.9595959595959596
0.864,0.9696969696969697
0.88,0.9696969696969697
0.88,0.9797979797979798
0.928,0.9797979797979798
0.928,0.98989898989899
0.984,0.98989898989899
0.984,1.0
1.0,1.0
